event_time,read_time,diff
1723174595359513,1723174595359689,176
1723174595359513,1723174595359690,177
1723174595359513,1723174595359691,178
1723174595365467,1723174595365550,83
1723174595365467,1723174595365552,85
1723174595366438,1723174595366494,56
1723174595366438,1723174595366495,57
1723174595368446,1723174595368506,60
1723174595368446,1723174595368507,61
1723174595371429,1723174595371481,52
1723174595371429,1723174595371482,53
1723174595373423,1723174595373472,49
1723174595373423,1723174595373473,50
1723174595373423,1723174595373473,50
1723174595375434,1723174595375495,61
1723174595375434,1723174595375496,62
1723174595375434,1723174595375496,62
1723174595376430,1723174595376488,58
1723174595376430,1723174595376488,58
1723174595377415,1723174595377458,43
1723174595377415,1723174595377458,43
1723174595378415,1723174595378457,42
1723174595378415,1723174595378458,43
1723174595379415,1723174595379460,45
1723174595379415,1723174595379460,45
1723174595379415,1723174595379461,46
1723174595380467,1723174595380543,76
1723174595380467,1723174595380544,77
1723174595381427,1723174595381498,71
1723174595381427,1723174595381499,72
1723174595382417,1723174595382466,49
1723174595382417,1723174595382467,50
1723174595382417,1723174595382467,50
1723174595383447,1723174595383497,50
1723174595383447,1723174595383497,50
1723174595384439,1723174595384499,60
1723174595384439,1723174595384499,60
1723174595384439,1723174595384499,60
1723174595385421,1723174595385468,47
1723174595385421,1723174595385468,47
1723174595385421,1723174595385468,47
1723174595386421,1723174595386477,56
1723174595386421,1723174595386478,57
1723174595387419,1723174595387474,55
1723174595387419,1723174595387474,55
1723174595387419,1723174595387475,56
1723174595388417,1723174595388469,52
1723174595388417,1723174595388470,53
1723174595389418,1723174595389472,54
1723174595389418,1723174595389472,54
1723174595389418,1723174595389473,55
1723174595390425,1723174595390506,81
1723174595390425,1723174595390507,82
1723174595390425,1723174595390508,83
1723174595391422,1723174595391485,63
1723174595391422,1723174595391486,64
1723174595392419,1723174595392482,63
1723174595392419,1723174595392482,63
1723174595392419,1723174595392483,64
1723174595393419,1723174595393485,66
1723174595393419,1723174595393485,66
1723174595394419,1723174595394482,63
1723174595394419,1723174595394483,64
1723174595394419,1723174595394483,64
1723174595395419,1723174595395481,62
1723174595395419,1723174595395482,63
1723174595395419,1723174595395482,63
1723174595396421,1723174595396483,62
1723174595396421,1723174595396484,63
1723174595396421,1723174595396484,63
1723174595397419,1723174595397481,62
1723174595397419,1723174595397481,62
1723174595397419,1723174595397482,63
1723174595398421,1723174595398482,61
1723174595398421,1723174595398483,62
1723174595398421,1723174595398483,62
1723174595399424,1723174595399491,67
1723174595399424,1723174595399492,68
1723174595399424,1723174595399492,68
1723174595400421,1723174595400485,64
1723174595400421,1723174595400486,65
1723174595400421,1723174595400487,66
1723174595401422,1723174595401490,68
1723174595401422,1723174595401491,69
1723174595402421,1723174595402485,64
1723174595402421,1723174595402486,65
1723174595402421,1723174595402486,65
1723174595403424,1723174595403490,66
1723174595403424,1723174595403490,66
1723174595403424,1723174595403491,67
1723174595404414,1723174595404476,62
1723174595404414,1723174595404477,63
1723174595404414,1723174595404477,63
1723174595405417,1723174595405478,61
1723174595405417,1723174595405478,61
1723174595405417,1723174595405479,62
1723174595406417,1723174595406479,62
1723174595406417,1723174595406479,62
1723174595406417,1723174595406480,63
1723174595407439,1723174595407505,66
1723174595407439,1723174595407505,66
1723174595407439,1723174595407506,67
1723174595408421,1723174595408483,62
1723174595408421,1723174595408484,63
1723174595408421,1723174595408484,63
1723174595409422,1723174595409484,62
1723174595409422,1723174595409485,63
1723174595409422,1723174595409485,63
1723174595410420,1723174595410484,64
1723174595410420,1723174595410485,65
1723174595410420,1723174595410486,66
1723174595411417,1723174595411479,62
1723174595411417,1723174595411479,62
1723174595411417,1723174595411480,63
1723174595412421,1723174595412485,64
1723174595412421,1723174595412486,65
1723174595412421,1723174595412486,65
1723174595413422,1723174595413491,69
1723174595413422,1723174595413492,70
1723174595413422,1723174595413492,70
1723174595414420,1723174595414484,64
1723174595414420,1723174595414485,65
1723174595414420,1723174595414485,65
1723174595415419,1723174595415482,63
1723174595415419,1723174595415483,64
1723174595415419,1723174595415483,64
1723174595416424,1723174595416497,73
1723174595416424,1723174595416497,73
1723174595416424,1723174595416498,74
1723174595417421,1723174595417487,66
1723174595417421,1723174595417488,67
1723174595417421,1723174595417488,67
1723174595418423,1723174595418487,64
1723174595418423,1723174595418487,64
1723174595418423,1723174595418487,64
1723174595419423,1723174595419489,66
1723174595419423,1723174595419490,67
1723174595419423,1723174595419491,68
1723174595420421,1723174595420486,65
1723174595420421,1723174595420486,65
1723174595420421,1723174595420487,66
1723174595421421,1723174595421485,64
1723174595421421,1723174595421485,64
1723174595421421,1723174595421486,65
1723174595422424,1723174595422493,69
1723174595422424,1723174595422494,70
1723174595422424,1723174595422494,70
1723174595423425,1723174595423490,65
1723174595423425,1723174595423491,66
1723174595423425,1723174595423491,66
1723174595424419,1723174595424481,62
1723174595424419,1723174595424482,63
1723174595424419,1723174595424482,63
1723174595425419,1723174595425481,62
1723174595425419,1723174595425482,63
