event_time,read_time,naive_diff,extra_lag,diff
1723324209604723,1723324209604748,25,1,26
1723324209604723,1723324209604749,26,1,27
1723324209609722,1723324209609748,26,1,27
1723324209609722,1723324209609748,26,1,27
1723324209610722,1723324209610748,26,1,27
1723324209610722,1723324209610748,26,1,27
1723324209613721,1723324209613746,25,1,26
1723324209613721,1723324209613747,26,1,27
1723324209614724,1723324209614750,26,1,27
1723324209614724,1723324209614751,27,1,28
1723324209615724,1723324209615749,25,1,26
1723324209615724,1723324209615749,25,1,26
1723324209619722,1723324209619747,25,1,26
1723324209619722,1723324209619748,26,1,27
1723324209620722,1723324209620747,25,1,26
1723324209620722,1723324209620748,26,1,27
1723324209621723,1723324209621748,25,1,26
1723324209621723,1723324209621748,25,1,26
1723324209622727,1723324209622758,31,1,32
1723324209622727,1723324209622758,31,1,32
1723324209626724,1723324209626749,25,1,26
1723324209626724,1723324209626749,25,1,26
1723324209627722,1723324209627747,25,1,26
1723324209627722,1723324209627747,25,1,26
1723324209628722,1723324209628747,25,1,26
1723324209628722,1723324209628748,26,1,27
1723324209629723,1723324209629748,25,1,26
1723324209629723,1723324209629749,26,1,27
1723324209633721,1723324209633749,28,1,29
1723324209633721,1723324209633750,29,1,30
1723324209634727,1723324209634751,24,1,25
1723324209634727,1723324209634752,25,1,26
1723324209635722,1723324209635748,26,1,27
1723324209635722,1723324209635748,26,1,27
1723324209636722,1723324209636747,25,1,26
1723324209636722,1723324209636747,25,1,26
1723324209640723,1723324209640752,29,1,30
1723324209640723,1723324209640752,29,1,30
1723324209649724,1723324209649749,25,1,26
1723324209649724,1723324209649750,26,1,27
1723324209652722,1723324209652747,25,1,26
1723324209652722,1723324209652748,26,1,27
1723324209653722,1723324209653747,25,1,26
1723324209653722,1723324209653747,25,1,26
1723324209654721,1723324209654749,28,1,29
1723324209654721,1723324209654750,29,1,30
1723324209658722,1723324209658747,25,1,26
1723324209658722,1723324209658748,26,1,27
1723324209659723,1723324209659748,25,1,26
1723324209659723,1723324209659749,26,1,27
1723324209660724,1723324209660749,25,1,26
1723324209660724,1723324209660750,26,1,27
1723324209661723,1723324209661748,25,1,26
1723324209661723,1723324209661748,25,1,26
1723324209665722,1723324209665752,30,1,31
1723324209665722,1723324209665753,31,1,32
1723324209666726,1723324209666751,25,1,26
1723324209666726,1723324209666752,26,1,27
1723324209667722,1723324209667750,28,1,29
1723324209667722,1723324209667750,28,1,29
1723324209668721,1723324209668747,26,1,27
1723324209668721,1723324209668747,26,1,27
1723324209672725,1723324209672751,26,1,27
1723324209672725,1723324209672751,26,1,27
1723324209673723,1723324209673748,25,1,26
1723324209673723,1723324209673749,26,1,27
1723324209674723,1723324209674747,24,1,25
1723324209674723,1723324209674748,25,1,26
1723324209675725,1723324209675750,25,1,26
1723324209675725,1723324209675751,26,1,27
1723324209679724,1723324209679749,25,1,26
1723324209679724,1723324209679750,26,1,27
1723324209680731,1723324209680756,25,1,26
1723324209680731,1723324209680757,26,1,27
1723324209681723,1723324209681747,24,1,25
1723324209681723,1723324209681747,24,1,25
1723324209682722,1723324209682747,25,1,26
1723324209682722,1723324209682748,26,1,27
1723324209686722,1723324209686747,25,1,26
1723324209686722,1723324209686747,25,1,26
1723324209687722,1723324209687751,29,1,30
1723324209687722,1723324209687751,29,1,30
1723324209688730,1723324209688757,27,1,28
1723324209688730,1723324209688757,27,1,28
1723324209689725,1723324209689749,24,1,25
1723324209689725,1723324209689750,25,1,26
1723324209693720,1723324209693745,25,1,26
1723324209693720,1723324209693746,26,1,27
1723324209694722,1723324209694746,24,1,25
1723324209694722,1723324209694746,24,1,25
1723324209695722,1723324209695747,25,1,26
1723324209695722,1723324209695747,25,1,26
1723324209696727,1723324209696752,25,1,26
1723324209696727,1723324209696753,26,1,27
1723324209700722,1723324209700747,25,1,26
1723324209700722,1723324209700748,26,1,27
1723324209701723,1723324209701748,25,1,26
1723324209701723,1723324209701748,25,1,26
1723324209702722,1723324209702747,25,1,26
1723324209702722,1723324209702748,26,1,27
1723324209703721,1723324209703746,25,1,26
1723324209703721,1723324209703746,25,1,26
1723324209707721,1723324209707746,25,1,26
