event_time,read_time,diff
1723174527568414,1723174527568485,71
1723174527568414,1723174527568486,72
1723174527575404,1723174527575432,28
1723174527575404,1723174527575433,29
1723174527576409,1723174527576431,22
1723174527576409,1723174527576431,22
1723174527581407,1723174527581437,30
1723174527581407,1723174527581438,31
1723174527586400,1723174527586419,19
1723174527586400,1723174527586419,19
1723174527589409,1723174527589431,22
1723174527589409,1723174527589432,23
1723174527591405,1723174527591425,20
1723174527591405,1723174527591426,21
1723174527596423,1723174527596466,43
1723174527596423,1723174527596467,44
1723174527600404,1723174527600428,24
1723174527600404,1723174527600428,24
1723174527601419,1723174527601443,24
1723174527601419,1723174527601444,25
1723174527609400,1723174527609423,23
1723174527609400,1723174527609423,23
1723174527612424,1723174527612463,39
1723174527612424,1723174527612464,40
1723174527615409,1723174527615434,25
1723174527615409,1723174527615435,26
1723174527616402,1723174527616420,18
1723174527616402,1723174527616420,18
1723174527618418,1723174527618440,22
1723174527618418,1723174527618441,23
1723174527619414,1723174527619435,21
1723174527619414,1723174527619436,22
1723174527620411,1723174527620432,21
1723174527620411,1723174527620433,22
1723174527622406,1723174527622428,22
1723174527622406,1723174527622428,22
1723174527623415,1723174527623436,21
1723174527623415,1723174527623437,22
1723174527623415,1723174527623437,22
1723174527625411,1723174527625434,23
1723174527625411,1723174527625435,24
1723174527626421,1723174527626445,24
1723174527626421,1723174527626446,25
1723174527627436,1723174527627471,35
1723174527627436,1723174527627472,36
1723174527627436,1723174527627473,37
1723174527628432,1723174527628466,34
1723174527628432,1723174527628467,35
1723174527629431,1723174527629461,30
1723174527629431,1723174527629461,30
1723174527630412,1723174527630435,23
1723174527630412,1723174527630435,23
1723174527631414,1723174527631436,22
1723174527631414,1723174527631436,22
1723174527631414,1723174527631437,23
1723174527632411,1723174527632431,20
1723174527632411,1723174527632432,21
1723174527633411,1723174527633432,21
1723174527633411,1723174527633432,21
1723174527634416,1723174527634437,21
1723174527634416,1723174527634438,22
1723174527635420,1723174527635442,22
1723174527635420,1723174527635443,23
1723174527635420,1723174527635443,23
1723174527636427,1723174527636458,31
1723174527636427,1723174527636459,32
1723174527637424,1723174527637446,22
1723174527637424,1723174527637447,23
1723174527638412,1723174527638433,21
1723174527638412,1723174527638434,22
1723174527639413,1723174527639434,21
1723174527639413,1723174527639434,21
1723174527640411,1723174527640432,21
1723174527640411,1723174527640433,22
1723174527640411,1723174527640433,22
1723174527641414,1723174527641436,22
1723174527641414,1723174527641437,23
1723174527643085,1723174527643173,88
1723174527643085,1723174527643175,90
1723174527644432,1723174527644466,34
1723174527644432,1723174527644468,36
1723174527645412,1723174527645437,25
1723174527645412,1723174527645437,25
1723174527646415,1723174527646442,27
1723174527646415,1723174527646442,27
1723174527647411,1723174527647437,26
1723174527647411,1723174527647437,26
1723174527648405,1723174527648424,19
1723174527648405,1723174527648424,19
1723174527649411,1723174527649434,23
1723174527649411,1723174527649434,23
1723174527650420,1723174527650450,30
1723174527650420,1723174527650450,30
1723174527651417,1723174527651444,27
1723174527651417,1723174527651445,28
1723174527652424,1723174527652492,68
1723174527652424,1723174527652493,69
1723174527653411,1723174527653429,18
1723174527653411,1723174527653430,19
1723174527654408,1723174527654427,19
1723174527654408,1723174527654427,19
1723174527655423,1723174527655452,29
1723174527655423,1723174527655453,30
1723174527655423,1723174527655453,30
1723174527656413,1723174527656440,27
1723174527656413,1723174527656441,28
1723174527657415,1723174527657438,23
1723174527657415,1723174527657439,24
1723174527658413,1723174527658434,21
1723174527658413,1723174527658435,22
1723174527658413,1723174527658435,22
1723174527659413,1723174527659434,21
1723174527659413,1723174527659434,21
1723174527660413,1723174527660434,21
1723174527660413,1723174527660435,22
1723174527661430,1723174527661465,35
1723174527661430,1723174527661466,36
1723174527661430,1723174527661466,36
1723174527662428,1723174527662462,34
1723174527662428,1723174527662463,35
1723174527663428,1723174527663462,34
1723174527663428,1723174527663462,34
1723174527663428,1723174527663463,35
1723174527664413,1723174527664434,21
1723174527664413,1723174527664435,22
1723174527665413,1723174527665434,21
1723174527665413,1723174527665435,22
1723174527665413,1723174527665435,22
1723174527666412,1723174527666433,21
1723174527666412,1723174527666433,21
1723174527667415,1723174527667438,23
1723174527667415,1723174527667438,23
1723174527667415,1723174527667438,23
1723174527668412,1723174527668433,21
1723174527668412,1723174527668433,21
1723174527668412,1723174527668434,22
1723174527669415,1723174527669438,23
1723174527669415,1723174527669439,24
1723174527670410,1723174527670432,22
1723174527670410,1723174527670432,22
1723174527670410,1723174527670433,23
1723174527671412,1723174527671433,21
1723174527671412,1723174527671434,22
1723174527671412,1723174527671434,22
1723174527672410,1723174527672431,21
1723174527672410,1723174527672431,21
1723174527672410,1723174527672432,22
1723174527673414,1723174527673436,22
1723174527673414,1723174527673437,23
1723174527673414,1723174527673437,23
1723174527674417,1723174527674439,22
1723174527674417,1723174527674439,22
1723174527675419,1723174527675445,26
1723174527675419,1723174527675446,27
1723174527675419,1723174527675446,27
1723174527676417,1723174527676441,24
1723174527676417,1723174527676442,25
1723174527676417,1723174527676442,25
1723174527677415,1723174527677438,23
